Move;	Start Up;	Active;	Recovery;	Frame Advantage;	Invincibility;	Chain Cancel;	Special Cancel;	Super Cancel;	Damage;	Stun;	Stun Timer;	Super Meter;	Throw Range;	Notes;
Close St. LP;	3;	4;	5;	+4;	;	No;	Yes;	Yes;	4[0];	0~5;	40;	;	;	;
Far St. LP;	3;	4;	5;	+4;	;	Yes;	Yes;	Yes;	4[0];	0~5;	40;	;	;	;
Cr. LP;	3;	4;	5;	+4;	;	Yes;	Yes;	Yes;	4[0];	0~5;	40;	;	;	;
Close St. MP;	4;	2;	16;	+0;	;	No;	Yes;	Yes;	22[0];	5~11;	60;	;	;	;
Far St. MP;	4;	4;	7;	+7;	;	No;	Yes;	Yes;	22[0];	5~11;	60;	;	;	;
Cr. MP;	4;	4;	7;	+7;	;	No;	Yes;	Yes;	22[0];	5~11;	60;	;	;	;
Close St. HP;	4;	2,6;	23;	-9/-7;	;	No;	Yes/No;	Yes/Yes;	28[1];	3~9/10~16;	40/80;	;	;	;
Far St. HP;	6;	6;	23;	-7;	;	No;	No;	Yes;	28[1];	10~6;	80;	;	;	;
Cr. HP;	4;	3,8;	23;	-12/-9;	;	No;	Yes/No;	Yes/No;	28[1]/22[1];	3~9/10~16;	40/80;	;	;	;
Close St. LK;	6;	2;	8;	+3;	;	Yes;	No;	Yes;	12[0];	0~5;	40;	;	;	;
Far St. LK;	8;	2;	8;	+3;	;	No;	No;	No;	14[0];	0~5;	40;	;	;	;
Cr. LK;	4;	4;	5;	+4;	;	Yes;	Yes;	Yes;	4[0];	0~5;	40;	;	;	;
Close St. MK;	4;	6;	9;	+3;	;	No;	Yes;	Yes;	24[0];	5~11;	60;	;	;	;
Far St. MK;	8;	8;	7;	+3;	;	No;	No;	No;	24[0];	5~11;	60;	;	;	;
Cr. MK;	4;	6;	9;	+3;	;	No;	Yes;	Yes;	22[0];	5~11;	60;	;	;	;
Close St. HK;	6;	8,4;	11;	-1/+7(+6);	;	No;	No;	No;	30[1]+4[1];	10~16 + 1~7;	80 + 70;	;	;	;
Far St. HK;	3;	10;	17;	-5/-1;	;	No;	Yes/Yes;	Yes/Yes;	30[1];	10~16;	80;	;	;	;
