Move;	Start Up;	Active;	Recovery;	Frame Advantage;	Invincibility;	Chain Cancel;	Special Cancel;	Super Cancel;	Damage;	Stun;	Stun Timer;	Super Meter;	Throw Range;	Notes;
Close St. LP;	4;	4;	4;	+5;	;	Yes;	Yes;	Yes;	18[0];	0~5;	40;	;	;	;
Far St. LP;	3;	2;	8;	+3;	;	Yes;	Yes;	Yes;	4[0];	0~5;	40;	;	;	;
Cr. LP;	4;	4;	5;	+4;	;	No;	Yes;	Yes;	4[0];	0~5;	40;	;	;	;
Close St. MP;	5;	4;	4;	+10;	;	No;	Yes;	Yes;	22[1];	5~11;	60;	;	;	;
Far St. MP;	5;	4;	4;	+10;	;	No;	Yes;	Yes;	22[1];	5~11;	60;	;	;	;
Cr. MP;	5;	4;	5;	+9;	;	No;	Yes;	Yes;	18[1];	5~11;	60;	;	;	;
Close St. HP;	4;	20;	11;	-9;	;	No;	Yes;	Yes;	24[1];	10~16;	80;	;	;	;
Far St. HP;	6;	6;	18;	-2;	;	No;	No;	Yes;	24[0];	10~16;	80;	;	;	;
Cr. HP;	7;	6;	19;	-3;	;	No;	No;	No;	22[2];	10~16;	80;	;	;	;
Close St. LK;	4;	5;	5;	+3;	;	No;	Yes;	Yes;	20[1];	0~5;	40;	;	;	;
Far St. LK;	7;	5;	5;	+3;	;	No;	No;	No;	20[0];	0~5;	40;	;	;	;
Cr. LK;	5;	4;	5;	+4;	;	No;	Yes;	Yes;	14[0];	0~5;	40;	;	;	;
Close St. MK;	4;	3,6;	8;	+1/+4;	;	No;	Yes/No;	Yes/No;	24[1];	5~11;	60;	;	;	;
Far St. MK;	7;	5;	8;	+5;	;	No;	No;	No;	24[0];	5~11;	60;	;	;	;
Cr. MK;	5;	5;	4;	+9;	;	No;	Yes;	Yes;	18[1];	5~11;	60;	;	;	;
Close St. HK;	10;	6;	21;	-5;	;	No;	No;	No;	28[1];	10~16;	80;	;	;	;
Far St. HK;	11;	8;	14;	+0;	;	No;	No;	No;	28[0];	10~16;	80;	;	;	;
Cr. HK;	7;	6;	19;	-3;	;	No;	No;	No;	22[2];	5~11;	130;	;	;	;
Neutral Jumping LP;	8;	∞;	;	;	;	;	;	;	18[2];	1~7(-2);	40;	;	;	;
Diagonal Jumping LP;	6;	∞;	;	;	;	;	;	;	16[2];	1~7(-2);	40;	;	;	;
Neutral Jumping MP;	8;	16;	∞;	;	;	;	;	;	22[2];	5~11;	50(+10);	;	;	;
Diagonal Jumping MP;	6;	8;	∞;	;	;	;	;	;	20[2];	5~11;	50(+10);	;	;	;
