Move;	Start Up;	Active;	Recovery;	Frame Advantage;	Invincibility;	Chain Cancel;	Special Cancel;	Super Cancel;	Damage;	Stun ;	Stun Timer;	Super Meter;	Throw Range;	Notes;
Close St. LP;	4;	2;	3;	+8;	;	No;	Yes;	Yes;	20[1];	0~5;	40;	;	;	;
Far St. LP;	6;	4;	5;	+4;	;	No;	No;	No;	20[1];	0~5;	40;	;	;	;
Cr. LP;	5;	8;	3;	+2;	;	No;	No;	Yes;	20[1];	0~5;	40;	;	;	;
Close St. MP;	5;	2;	5;	+11;	;	No;	No;	Yes;	24[1];	5~11;	60;	;	;	;
Far St. MP;	7;	4;	6;	+8;	;	No;	No;	No;	24[1];	5~11;	60;	;	;	;
Cr. MP;	7;	8;	11;	-1;	;	No;	No;	No;	24[1];	5~11;	60;	;	;	;
Close St. HP;	7;	5,2;	18;	-3/+2;	;	No;	No;	No;	30[2];	10~16;	80;	;	;	;
Far St. HP;	8;	4;	18;	+0;	;	No;	No;	No;	30[2];	10~16;	80;	;	;	;
Cr. HP;	5;	4,(6),8;	11;	-6/+3(+2);	;	No;	No;	Yes/No;	16[2] + 16[2];	1~7 + 1~7;	70 + 70;	;	;	;
Close St. LK;	4;	3;	5;	+5;	;	No;	Yes;	Yes;	18[1];	0~5;	40;	;	;	;
Far St. LK;	10;	3;	7;	+3;	;	No;	No;	No;	18[1];	0~5;	40;	;	;	;
Cr. LK;	4;	3;	4;	+6;	;	No;	Yes;	Yes;	18[1];	0~5;	40;	;	;	;
Close St. MK;	6;	3;	7;	+8;	;	No;	No;	No;	22[1];	5~11;	60;	;	;	;
Far St. MK;	7;	3,6;	10;	-1/+2(+1);	;	No;	No;	No;	4[1] + 24[1];	5~11 + 5~11;	60 + 60;	;	;	;
Cr. MK;	7;	5;	8;	+5;	;	No;	No;	No;	22[1];	5~11;	60;	;	;	;
St. HK;	8;	3,5;	18;	-4/-1(-2);	;	No;	No;	No;	4[2] + 30[0];	3~9 + 10~16;	40 + 80;	;	;	;
Cr. HK;	8;	6,(4),8;	7;	-3/+7;	;	No;	No;	No;	32[2];	5~11;	130;	;	;	;
Neutral Jumping LP;	8;	30;	∞;	;	;	;	;	;	20[1];	1~7(-2);	40;	;	;	;
Diagonal Jumping LP;	5;	12;	∞;	;	;	;	;	;	16[1];	1~7(-2);	40;	;	;	;
Neutral Jumping MP;	7;	16;	∞;	;	;	;	;	;	22[1];	5~11;	50(+10);	;	;	;
Diagonal Jumping MP;	7;	8;	∞;	;	;	;	;	;	22[1];	5~11;	50(+10);	;	;	;
Neutral Jumping HP;	7;	6;	∞;	;	;	;	;	;	32[2];	11~17(-1);	60(+20);	;	;	;
Diagonal Jumping HP;	7;	8;	∞;	;	;	;	;	;	30[2];	3~9;	40;	;	;	;
Neutral Jumping LK;	7;	30;	∞;	;	;	;	;	;	16[1];	1~7(-2);	40;	;	;	;
Diagonal Jumping LK;	7;	∞;	;	;	;	;	;	;	16[1];	1~7(-2);	40;	;	;	;
Neutral / Diagonal Jumping MK;	7;	12;	∞;	;	;	;	;	;	22[1];	5~11;	50(+10);	;	;	;
Neutral Jumping HK;	7;	6;	∞;	;	;	;	;	;	30[2];	11~17(-1);	60(+20);	;	;	;
Diagonal Jumping HK;	7;	10;	∞;	;	;	;	;	;	30[2];	3~9;	40;	;	;	;
Double Knee Attack;	10;	3,3;	7;	+5/+8(+7);	;	No;	No;	No;	26[1] + 16[1];	5~11 + 5~11;	60 + 60;	;	;	;
