Move;	Start Up;	Active;	Recovery;	Frame Advantage;	Invincibility;	Chain Cancel;	Special Cancel;	Super Cancel;	Damage;	Stun;	Stun Timer;	Super Meter;	Throw Range;	Notes;
Close St. LP;	3;	4;	5;	+4;	;	No;	Yes;	Yes;	4[6];	0~5;	40;	;	;	;
Far St. LP;	3;	4;	5;	+4;	;	Yes;	Yes;	Yes;	4[1];	0~5;	40;	;	;	;
Cr. LP;	3;	4;	5;	+4;	;	Yes;	Yes;	Yes;	4[1];	0~5;	40;	;	;	;
Close St. MP;	4;	2;	17;	-1;	;	No;	Yes;	Yes;	24[1];	5~11;	60;	;	;	;
Far St. MP;	4;	4;	7;	+7;	;	No;	Yes;	Yes;	22[6];	5~11;	60;	;	;	;
Cr. MP;	4;	4;	7;	+7;	;	No;	Yes;	Yes;	22[1];	5~11;	60;	;	;	;
Close St. HP;	4;	2,6;	23;	-9/-7;	;	No;	Yes/No;	Yes/No;	28[7];	3~9/10~16;	40/80;	;	;	;
Far St. HP;	6;	6;	23;	-7;	;	No;	No;	Yes;	28[2];	10~16;	80;	;	;	;
Cr. HP;	4;	3,8;	23;	-12/-9;	;	No;	Yes/No;	Yes/No;	28[2]/22[2];	3~9/10~16;	40/80;	;	;	;
Close St. LK;	6;	2;	8;	+3;	;	Yes;	No;	Yes;	12[0];	0~5;	40;	;	;	;
Far St. LK;	8;	2;	9;	+2;	;	No;	No;	No;	14[0];	0~5;	40;	;	;	;
Cr. LK;	4;	4;	5;	+4;	;	Yes;	Yes;	Yes;	4[1];	0~5;	40;	;	;	;
Close St. MK;	8;	8;	11;	-1;	;	No;	No;	No;	22[6];	5~11;	60;	;	;	;
Far St. MK;	8;	8;	7;	+3;	;	No;	No;	No;	22[1];	5~11;	60;	;	;	;
Cr. MK;	4;	6;	9;	+3;	;	No;	Yes;	Yes;	22[1];	5~11;	60;	;	;	;
St. HK;	9;	4;	17;	-4;	;	No;	No;	No;	26[2];	10~16;	80;	;	;	;
Cr. HK;	4;	6;	25;	-9 ;	;	No;	Yes;	Yes;	26[2];	10~16;	130;	;	;	;
Jumping LP;	2;	∞;	;	;	;	;	;	;	12[2];	1~7(-2);	40;	;	;	;
Neutral Jumping MP;	4;	20;	∞;	;	;	;	Yes;	;	22[2];	5~11;	50;	;	;	;
Diagonal Jumping MP;	4;	8;	∞;	;	;	;	Yes;	;	22[2];	5~11;	50;	;	;	;
Neutral Jumping HP;	4;	20;	∞;	;	;	;	Yes;	;	24[2];	11~17(-1);	60(+20);	;	;	;
Diagonal Jumping HP;	4;	8;	∞;	;	;	;	Yes;	;	24[1];	3~9;	40;	;	;	;
