Move;	Start Up;	Active;	Recovery;	Frame Advantage;	Invincibility;	Chain Cancel;	Special Cancel;	Damage;	Stun;	Stun Timer;	Throw Range;	Notes;
Close St. LP;	3;	3,6;	5;	-1/+2;	;	No;	Yes/No;	14[0];	40;	0~5;	;	;
Far St. LP;	6;	6;	5;	+2;	;	No;	Yes;	12[0];	40;	0~5;	;	;
Close Cr. LP;	3;	4;	5;	+4;	;	No;	Yes ;	14[1];	40;	0~5;	;	;
Far Cr. LP;	9;	6;	9;	-2;	;	No;	No;	12[0];	40;	0~5;	;	;
Close St. MP;	3;	9;	5;	+4/+7;	;	No;	Yes/No;	18[1];	60;	5~11;	;	;
Far St. MP;	8;	10;	9;	-1/+3;	;	No;	No;	16[1];	60;	5~11;	;	;
Close Cr. MP;	4;	5;	7;	+6;	;	No;	Yes;	18[1];	60;	5~11;	;	;
Far St. MP;	9;	6;	9;	+3;	;	No;	No;	16[0];	60;	5~11;	;	;
Close St. HP;	6;	3,8;	17;	-6/-3(-4);	;	No;	Yes/No;	22[1]+22[1];	10~16+10~16;	80+80;	;	;
Far St. HP;	8;	4,6;	19;	-7/-3;	;	No;	No;	20[1];	10~16;	80;	;	;
Cr. HP;	12;	6;	19;	-3;	;	No;	No;	20[2];	10~16;	80;	;	;
Close St. LK;	4;	8;	5;	+0;	;	No;	Yes;	14[0];	0~5;	40;	;	;
Far St. LK;	6;	8;	9;	-4;	;	No;	Yes;	12[1];	0~5;	40;	;	;
Cr. LK;	3;	14;	5;	-6;	;	No;	Yes;	12[1];	0~5;	40;	;	;
Close St. MK;	4;	8;	5;	+5;	;	No;	Yes;	18[0];	5~11;	60;	;	;
Far St. MK;	6;	8;	9;	+1;	;	No;	Yes;	16[1];	5~11;	60;	;	;
Close Cr. MK;	2;	8;	5;	+5;	;	No;	Yes;	18[2];	5~11;	60;	;	;
Far Cr. MK;	8;	16;	5;	+1;	;	No;	No;	16[1];	5~11;	60;	;	;
Close St. HK;	9;	8;	8;	+6;	;	No;	No;	22[1];	10~16;	80;	;	;
Far St. HK;	11;	6;	19;	-3;	;	No;	No;	20[1];	10~16;	80;	;	;
Cr. HK;	8;	18;	21;	-17;	;	No;	No;	20[2];	5~11;	130;	;	;
Jumping LP;	7;	16;	∞;	;	;	;	;	14[1];	1~7(-2);	40;	;	;
Jumping MP;	7;	10;	∞;	;	;	;	;	18[1];	5~11;	50(+10);	;	;
Jumping HP;	7;	4;	∞;	;	;	;	;	24[2];	11~17(-1);	60(+20);	;	;
Jumping LK;	10;	18;	∞;	;	;	;	;	14[1];	1~7(-2);	40;	;	;
Jumping MK;	10;	12;	∞;	;	;	;	;	18[1];	5~11;	50(+10);	;	;
Jumping HK;	10;	6;	∞;	;	;	;	;	24[2];	11~17(-1);	60(+20);	;	;
Mummy Drill;	6;	∞;	;	;	;	;	;	18[4];	10~16;	80;	;	;
Drill Kick;	6;	∞;	;	;	;	;	;	18[4];	10~16;	80;	;	;
Normal Throw;	;	;	;	;	;	;	;	34;	7~13;	100;	64,29;	;
Normal Throw, Hold;	;	;	;	;	;	;	;	26 + 4*n;	;	;	64,29;	;
LP Yoga Fire;	12;	;	40;	;	;	;	;	17[2];	9~15;	100;	;	;
MP Yoga Fire;	12;	;	40;	;	;	;	;	18[2];	9~15;	100;	;	;
HP Yoga Fire;	12;	;	40;	;	;	;	;	20[3];	9~15;	100;	;	;
LP Yoga Flame;	21;	32;	19;	;	;	;	;	28[7];	9~15;	100;	;	;
MP Yoga Flame;	22;	48;	19;	;	;	;	;	28[5] / 32[5];	9~15;	100;	;	Higher damage is for the last 4 active frames;
HP Yoga Flame;	24;	63;	20;	;	;	;	;	32[5];	9~15;	100;	;	;
Yoga Teleport;	38;	;	29;	;	1 to 64;	;	;	;	;	;	;	;
